;;gcomponents;gnontrivial;gpredicates;grules;gconstraints;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;label
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_9.lp;14;1;9;5;2;76;2;0;none;min-degree;8;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_6.lp;14;1;9;5;2;37;2;1;semi;min-degree;6;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_6.lp;14;1;9;5;2;37;2;0;semi;min-degree;6;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_6.lp;14;1;9;5;2;37;2;1;weak;min-degree;6;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_6.lp;14;1;9;5;2;37;2;0;weak;min-degree;6;1
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_6.lp;14;1;9;5;2;37;2;0;none;min-degree;6;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_3.lp;14;1;9;5;2;12;2;1;semi;min-degree;2;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_3.lp;14;1;9;5;2;12;2;0;semi;min-degree;2;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_3.lp;14;1;9;5;2;12;2;1;weak;min-degree;2;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_3.lp;14;1;9;5;2;12;2;0;weak;min-degree;2;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_3.lp;14;1;9;5;2;12;2;0;none;min-degree;2;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_12.lp;14;1;9;5;2;86;2;1;semi;min-degree;9;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_12.lp;14;1;9;5;2;86;2;0;semi;min-degree;9;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_12.lp;14;1;9;5;2;86;2;1;weak;min-degree;9;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_12.lp;14;1;9;5;2;86;2;0;weak;min-degree;9;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_12.lp;14;1;9;5;2;86;2;0;none;min-degree;9;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_15.lp;14;1;9;5;2;213;2;1;semi;min-degree;14;1
