;;gcomponents;gnontrivial;gpredicates;grules;gconstraints;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;jumpy;frumpy;crafty;none;nopre
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_002.lp;14.0;1.0;9.0;5.0;2.0;54.0;1.0;0.0;semi;min-degree;7.0;56.53;61.26;56.29;61.30;73.89
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_002.lp;14.0;1.0;9.0;5.0;2.0;54.0;1.0;1.0;weak;min-degree;7.0;1.82;1.88;1.81;1.86;2.10
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_002.lp;14.0;1.0;9.0;5.0;2.0;54.0;1.0;0.0;weak;min-degree;7.0;109.94;130.45;109.06;123.70;190.89
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_002.lp;14.0;1.0;9.0;5.0;2.0;54.0;1.0;0.0;none;min-degree;7.0;0.03;0.03;0.03;0.03;0.03
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_007.lp;14.0;1.0;9.0;5.0;2.0;33.0;1.0;1.0;semi;min-degree;5.0;0.10;0.10;0.10;0.10;0.10
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_007.lp;14.0;1.0;9.0;5.0;2.0;33.0;1.0;0.0;semi;min-degree;5.0;10.09;10.28;10.15;10.32;12.91
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_007.lp;14.0;1.0;9.0;5.0;2.0;33.0;1.0;1.0;weak;min-degree;5.0;0.10;0.10;0.09;0.10;0.10
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_007.lp;14.0;1.0;9.0;5.0;2.0;33.0;1.0;0.0;weak;min-degree;5.0;14.75;15.49;14.85;15.48;21.90
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_007.lp;14.0;1.0;9.0;5.0;2.0;33.0;1.0;0.0;none;min-degree;5.0;0.05;0.04;0.05;0.05;0.05
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_008.lp;14.0;1.0;9.0;5.0;2.0;42.0;1.0;1.0;semi;min-degree;5.0;0.50;0.50;0.50;0.51;0.55
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_008.lp;14.0;1.0;9.0;5.0;2.0;42.0;1.0;0.0;semi;min-degree;5.0;9.88;10.09;9.86;10.04;11.61
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_008.lp;14.0;1.0;9.0;5.0;2.0;42.0;1.0;1.0;weak;min-degree;5.0;0.50;0.51;0.51;0.51;0.55
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_008.lp;14.0;1.0;9.0;5.0;2.0;42.0;1.0;0.0;weak;min-degree;5.0;10.99;11.16;11.04;11.22;14.15
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_008.lp;14.0;1.0;9.0;5.0;2.0;42.0;1.0;0.0;none;min-degree;5.0;1.09;1.11;1.07;1.10;1.06
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_009.lp;14.0;1.0;9.0;5.0;2.0;44.0;1.0;1.0;semi;min-degree;5.0;1.28;1.28;1.27;1.27;1.37
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_009.lp;14.0;1.0;9.0;5.0;2.0;44.0;1.0;0.0;semi;min-degree;5.0;8.60;8.79;8.63;8.82;11.01
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_009.lp;14.0;1.0;9.0;5.0;2.0;44.0;1.0;1.0;weak;min-degree;5.0;1.27;1.29;1.28;1.29;1.36
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_009.lp;14.0;1.0;9.0;5.0;2.0;44.0;1.0;0.0;weak;min-degree;5.0;8.62;8.81;8.49;8.83;10.94
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_009.lp;14.0;1.0;9.0;5.0;2.0;44.0;1.0;0.0;none;min-degree;5.0;0.52;0.51;0.51;0.52;0.52
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_011.lp;14.0;1.0;9.0;5.0;2.0;49.0;1.0;1.0;semi;min-degree;6.0;1.02;1.04;1.03;1.04;1.08
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_011.lp;14.0;1.0;9.0;5.0;2.0;49.0;1.0;0.0;semi;min-degree;6.0;23.02;23.89;22.95;24.00;28.64
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_011.lp;14.0;1.0;9.0;5.0;2.0;49.0;1.0;1.0;weak;min-degree;6.0;1.01;1.04;1.02;1.04;1.07
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_011.lp;14.0;1.0;9.0;5.0;2.0;49.0;1.0;0.0;weak;min-degree;6.0;26.69;27.58;26.45;27.47;35.83
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_011.lp;14.0;1.0;9.0;5.0;2.0;49.0;1.0;0.0;none;min-degree;6.0;0.22;0.22;0.22;0.21;0.22
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_012.lp;14.0;1.0;9.0;5.0;2.0;48.0;1.0;1.0;semi;min-degree;6.0;2.51;2.56;2.51;2.53;2.76
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_012.lp;14.0;1.0;9.0;5.0;2.0;48.0;1.0;0.0;semi;min-degree;6.0;19.27;19.90;19.80;19.72;23.25
