;;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;jumpy;frumpy;crafty;none;nopre
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_2.lp;17.0;2.0;1.0;semi;min-degree;1.0;0.00;0.00;0.00;0.00;0.00
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_2.lp;17.0;2.0;0.0;semi;min-degree;1.0;0.11;0.11;0.11;0.11;0.11
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_2.lp;17.0;2.0;1.0;weak;min-degree;1.0;0.00;0.00;0.00;0.00;0.00
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_2.lp;17.0;2.0;0.0;weak;min-degree;1.0;0.25;0.26;0.25;0.26;0.26
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_2.lp;17.0;2.0;0.0;none;min-degree;1.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_9.lp;76.0;2.0;1.0;semi;min-degree;8.0;0.16;0.16;0.16;0.16;0.18
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_9.lp;76.0;2.0;0.0;semi;min-degree;8.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_9.lp;76.0;2.0;1.0;weak;min-degree;8.0;0.13;0.13;0.13;0.13;0.14
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_9.lp;76.0;2.0;0.0;weak;min-degree;8.0;370.39;392.06;369.71;394.52;399.81
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_9.lp;76.0;2.0;0.0;none;min-degree;8.0;0.05;0.05;0.05;0.05;0.05
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_6.lp;37.0;2.0;1.0;semi;min-degree;6.0;0.03;0.03;0.03;0.03;0.03
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_6.lp;37.0;2.0;0.0;semi;min-degree;6.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_6.lp;37.0;2.0;1.0;weak;min-degree;6.0;0.03;0.02;0.02;0.02;0.03
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_6.lp;37.0;2.0;0.0;weak;min-degree;6.0;170.28;172.71;172.03;172.88;184.18
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_6.lp;37.0;2.0;0.0;none;min-degree;6.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_3.lp;12.0;2.0;1.0;semi;min-degree;2.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_3.lp;12.0;2.0;0.0;semi;min-degree;2.0;0.03;0.03;0.03;0.03;0.03
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_3.lp;12.0;2.0;1.0;weak;min-degree;2.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_3.lp;12.0;2.0;0.0;weak;min-degree;2.0;0.04;0.04;0.04;0.04;0.04
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_3.lp;12.0;2.0;0.0;none;min-degree;2.0;0.00;0.00;0.00;0.00;0.00
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_12.lp;86.0;2.0;1.0;semi;min-degree;9.0;0.23;0.23;0.23;0.23;0.24
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_12.lp;86.0;2.0;0.0;semi;min-degree;9.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_12.lp;86.0;2.0;1.0;weak;min-degree;9.0;0.19;0.19;0.19;0.19;0.19
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_12.lp;86.0;2.0;0.0;weak;min-degree;9.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_12.lp;86.0;2.0;0.0;none;min-degree;9.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_15.lp;213.;2.0;1.0;semi;min-degree;14.0;427.06;1092.42;433.23;494.90;545.15
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_15.lp;213.;2.0;0.0;semi;min-degree;14.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_15.lp;213.;2.0;1.0;weak;min-degree;14.0;381.96;836.76;377.97;371.90;-100
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_15.lp;213.;2.0;0.0;weak;min-degree;14.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_15.lp;213.;2.0;0.0;none;min-degree;14.0;35.22;35.15;35.27;35.13;35.68
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_2.lp;7.0;2.0;1.0;semi;min-degree;0.0;0.00;0.00;0.00;0.00;0.00
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_2.lp;7.0;2.0;0.0;semi;min-degree;0.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_2.lp;7.0;2.0;1.0;weak;min-degree;0.0;0.00;0.00;0.00;0.00;0.00
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_2.lp;7.0;2.0;0.0;weak;min-degree;0.0;0.00;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_2.lp;7.0;2.0;0.0;none;min-degree;0.0;0.00;0.00;0.00;0.00;0.00
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_4.lp;11.0;2.0;1.0;semi;min-degree;1.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_4.lp;11.0;2.0;0.0;semi;min-degree;1.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_4.lp;11.0;2.0;1.0;weak;min-degree;1.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_4.lp;11.0;2.0;0.0;weak;min-degree;1.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_4.lp;11.0;2.0;0.0;none;min-degree;1.0;0.00;0.00;0.01;0.00;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_1.lp;5.0;2.0;1.0;semi;min-degree;0.0;0.00;0.00;0.00;0.00;0.00
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_1.lp;5.0;2.0;0.0;semi;min-degree;0.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_1.lp;5.0;2.0;1.0;weak;min-degree;0.0;0.00;0.00;0.00;0.00;0.00
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_1.lp;5.0;2.0;0.0;weak;min-degree;0.0;0.00;0.01;0.01;0.01;0.00
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_1.lp;5.0;2.0;0.0;none;min-degree;0.0;0.00;0.00;0.00;0.00;0.00
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_4.lp;24.0;2.0;1.0;semi;min-degree;3.0;0.02;0.02;0.02;0.02;0.02
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_4.lp;24.0;2.0;0.0;semi;min-degree;3.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_4.lp;24.0;2.0;1.0;weak;min-degree;3.0;0.02;0.02;0.02;0.02;0.02
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_4.lp;24.0;2.0;0.0;weak;min-degree;3.0;126.48;127.21;125.06;127.19;142.11
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_4.lp;24.0;2.0;0.0;none;min-degree;3.0;0.02;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_8.lp;34.0;2.0;1.0;semi;min-degree;4.0;0.03;0.03;0.03;0.03;0.03
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_8.lp;34.0;2.0;0.0;semi;min-degree;4.0;4.02;3.97;4.02;4.00;3.98
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_8.lp;34.0;2.0;1.0;weak;min-degree;4.0;0.03;0.03;0.03;0.03;0.03
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_8.lp;34.0;2.0;0.0;weak;min-degree;4.0;192.95;192.83;192.67;192.57;193.53
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_8.lp;34.0;2.0;0.0;none;min-degree;4.0;0.01;0.01;0.01;0.01;0.02
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_3.lp;26.0;2.0;1.0;semi;min-degree;1.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_3.lp;26.0;2.0;0.0;semi;min-degree;1.0;6.18;6.15;6.17;6.14;6.15
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_3.lp;26.0;2.0;1.0;weak;min-degree;1.0;0.01;0.01;0.01;0.01;0.01
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_3.lp;26.0;2.0;0.0;weak;min-degree;1.0;2280.75;2255.32;2275.77;2256.70;2274.98
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_15_3.lp;26.0;2.0;0.0;none;min-degree;1.0;0.02;0.02;0.02;0.02;0.02
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_10.lp;133.;2.0;1.0;semi;min-degree;9.0;0.86;1.02;0.86;0.91;1.19
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_10.lp;133.;2.0;0.0;semi;min-degree;9.0;-100.0;-100.0;-100.0;-100.0;-100.0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_10.lp;133.;2.0;1.0;weak;min-degree;9.0;0.75;0.92;0.75;0.80;1.08
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_10.lp;133.;2.0;0.0;weak;min-degree;9.0;890.39;910.61;888.67;909.49;871.48
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_10.lp;133.;2.0;0.0;none;min-degree;9.0;0.44;0.44;0.44;0.44;0.46
