Combined,SAT,DomSet
806,806,
1.87,1.87,
4.81,4.81,
456.32,456.32,
6.32,6.32,
567.08,567.08,
0.35,0.35,
95.18,95.18,
688.92,688.92,
94.1,94.1,
865.83,865.83,
26.38,26.38,
0.04,0.04,
492.28,492.28,
0.05,0.05,
572.44,572.44,
2.73,2.73,
16.52,16.52,
343.86,343.86,
19.68,19.68,
524.79,524.79,
10.85,10.85,
59.71,59.71,
712.21,712.21,
56.15,56.15,
947.71,947.71,
2.32,2.32,
29.98,29.98,
474.01,474.01,
60.24,60.24,
1035.34,1035.34,
2.71,2.71,
0.02,0.02,
60.98,60.98,
0.03,0.03,
32.12,32.12,
0.02,0.02,
0.05,0.05,
774.52,774.52,
0.06,0.06,
601.77,601.77,
0.02,0.02,
0.05,0.05,
822.04,822.04,
0.04,0.04,
664.68,664.68,
0.01,0.01,
1.33,1.33,
371.04,371.04,
1.29,1.29,
264.87,264.87,
0.07,0.07,
0.14,0.14,
142.33,142.33,
0.13,0.13,
105.96,105.96,
0.08,0.08,
0.31,0.31,
337.41,337.41,
0.12,0.12,
761.93,761.93,
0.16,0.16,
0.01,0.01,
137.27,137.27,
0.01,0.01,
93.99,93.99,
0.03,0.03,
0.05,0.05,
765.33,765.33,
0.07,0.07,
1230.17,1230.17,
0.03,0.03,
0.59,0.59,
587.87,587.87,
0.48,0.48,
622.48,622.48,
0.14,0.14,
0.14,0.14,
396.57,396.57,
0.14,0.14,
288.78,288.78,
0.04,0.04,
0.15,0.15,
801.53,801.53,
0.14,0.14,
712.45,712.45,
0.01,0.01,
0.58,0.58,
101.09,101.09,
0.61,0.61,
79.22,79.22,
0.17,0.17,
0.86,0.86,
727.49,727.49,
1.02,1.02,
585.72,585.72,
0.11,0.11,
0.02,0.02,
640.07,640.07,
0.02,0.02,
648,648,
0.02,0.02,
0.01,0.01,
162.64,162.64,
0.01,0.01,
125.67,125.67,
0.01,0.01,
0.01,0.01,
470.95,470.95,
0.01,0.01,
571.29,571.29,
0.31,0.31,
0.01,0.01,
298.27,298.27,
0.01,0.01,
335,335,
0.12,0.12,
135.01,,
10.1,,
8.82,,
2.95,,
80.95,,
45.8,,
0.04,,
0.26,,
0.27,,
290.05,,
0.16,,
0.02,,
0.02,,
94.57,,
0.04,,
0.06,,
0.05,,
134.27,,
0.03,,
0.01,,
0.17,,
0.01,,
104.41,,
0.05,,
0.11,,
0.25,,
0.01,,
0.16,,
0.13,,
369.71,,
0.05,,
0.03,,
0.02,,
170.28,,
0.01,,
0.01,,
0.03,,
0.01,,
0.04,,
0.23,,
0.19,,
0.01,,
427.06,,
371.9,,
35.13,,
0.01,,
0.01,,
0.01,,
0.01,,
0.01,,
0.01,,
0.02,,
0.02,,
125.06,,
0.01,,
0.03,,
3.97,,
0.03,,
192.57,,
0.01,,
0.01,,
6.14,,
0.01,,
2255.32,,
0.02,,
0.86,,
0.75,,
871.48,,
0.44,,
