@relation whatever

@attribute gcomponents numeric
@attribute gnontrivial numeric
@attribute gpredicates numeric
@attribute grules numeric
@attribute gconstraints numeric
@attribute nbredgefacts numeric
@attribute nbredgepred numeric
@attribute defjoin { 1 , 0 } 
@attribute normalization { semi , weak , none } 
@attribute heuristic { min-degree } 
@attribute dw numeric
@attribute label { 0 , 4 , 3 , 2 , 5 , 1 } 


@data
14 , 1 , 9 , 5 , 2 , 213 , 2 , 0 , none , min-degree , 14 , 4 
14 , 1 , 9 , 5 , 2 , 7 , 2 , 1 , semi , min-degree , 0 , 5 
14 , 1 , 9 , 5 , 2 , 7 , 2 , 0 , semi , min-degree , 0 , 5 
14 , 1 , 9 , 5 , 2 , 7 , 2 , 1 , weak , min-degree , 0 , 5 
14 , 1 , 9 , 5 , 2 , 7 , 2 , 0 , weak , min-degree , 0 , 1 
14 , 1 , 9 , 5 , 2 , 7 , 2 , 0 , none , min-degree , 0 , 5 
14 , 1 , 9 , 5 , 2 , 11 , 2 , 1 , semi , min-degree , 1 , 5 
14 , 1 , 9 , 5 , 2 , 11 , 2 , 0 , semi , min-degree , 1 , 5 
14 , 1 , 9 , 5 , 2 , 11 , 2 , 1 , weak , min-degree , 1 , 5 
14 , 1 , 9 , 5 , 2 , 11 , 2 , 0 , weak , min-degree , 1 , 5 
14 , 1 , 9 , 5 , 2 , 11 , 2 , 0 , none , min-degree , 1 , 4 
14 , 1 , 9 , 5 , 2 , 5 , 2 , 1 , semi , min-degree , 0 , 5 
14 , 1 , 9 , 5 , 2 , 5 , 2 , 0 , semi , min-degree , 0 , 5 
14 , 1 , 9 , 5 , 2 , 5 , 2 , 1 , weak , min-degree , 0 , 5 
14 , 1 , 9 , 5 , 2 , 5 , 2 , 0 , weak , min-degree , 0 , 5 
14 , 1 , 9 , 5 , 2 , 5 , 2 , 0 , none , min-degree , 0 , 5 
14 , 1 , 9 , 5 , 2 , 24 , 2 , 1 , semi , min-degree , 3 , 5 
14 , 1 , 9 , 5 , 2 , 24 , 2 , 0 , semi , min-degree , 3 , 0 
