id1;id2;gcomponents;gnontrivial;gpredicates;grules;gconstraints;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;label
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_011.lp;14;1;9;5;2;47;1;1;weak;min-degree;7;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_011.lp;14;1;9;5;2;47;1;0;weak;min-degree;7;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_011.lp;14;1;9;5;2;47;1;0;none;min-degree;7;4
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_012.lp;14;1;9;5;2;49;1;1;semi;min-degree;6;5
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_012.lp;14;1;9;5;2;49;1;0;semi;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_012.lp;14;1;9;5;2;49;1;1;weak;min-degree;6;4
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_012.lp;14;1;9;5;2;49;1;0;weak;min-degree;6;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_012.lp;14;1;9;5;2;49;1;0;none;min-degree;6;5
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_014.lp;14;1;9;5;2;66;1;1;semi;min-degree;7;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_014.lp;14;1;9;5;2;66;1;0;semi;min-degree;7;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_014.lp;14;1;9;5;2;66;1;1;weak;min-degree;7;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_014.lp;14;1;9;5;2;66;1;0;weak;min-degree;7;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_014.lp;14;1;9;5;2;66;1;0;none;min-degree;7;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_015.lp;14;1;9;5;2;58;1;1;semi;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_015.lp;14;1;9;5;2;58;1;0;semi;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_015.lp;14;1;9;5;2;58;1;1;weak;min-degree;6;2
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_015.lp;14;1;9;5;2;58;1;0;weak;min-degree;6;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_015.lp;14;1;9;5;2;58;1;0;none;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_016.lp;14;1;9;5;2;54;1;1;semi;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_016.lp;14;1;9;5;2;54;1;0;semi;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_016.lp;14;1;9;5;2;54;1;1;weak;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_016.lp;14;1;9;5;2;54;1;0;weak;min-degree;6;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_016.lp;14;1;9;5;2;54;1;0;none;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_017.lp;14;1;9;5;2;51;1;1;semi;min-degree;6;4
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_017.lp;14;1;9;5;2;51;1;0;semi;min-degree;6;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_017.lp;14;1;9;5;2;51;1;1;weak;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_017.lp;14;1;9;5;2;51;1;0;weak;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_017.lp;14;1;9;5;2;51;1;0;none;min-degree;6;4
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_018.lp;14;1;9;5;2;56;1;1;semi;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_018.lp;14;1;9;5;2;56;1;0;semi;min-degree;6;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_018.lp;14;1;9;5;2;56;1;1;weak;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_018.lp;14;1;9;5;2;56;1;0;weak;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_018.lp;14;1;9;5;2;56;1;0;none;min-degree;6;5
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_019.lp;14;1;9;5;2;54;1;1;semi;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_019.lp;14;1;9;5;2;54;1;0;semi;min-degree;6;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_019.lp;14;1;9;5;2;54;1;1;weak;min-degree;6;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_019.lp;14;1;9;5;2;54;1;0;weak;min-degree;6;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_019.lp;14;1;9;5;2;54;1;0;none;min-degree;6;4
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_020.lp;14;1;9;5;2;60;1;1;semi;min-degree;7;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_020.lp;14;1;9;5;2;60;1;0;semi;min-degree;7;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_020.lp;14;1;9;5;2;60;1;1;weak;min-degree;7;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_020.lp;14;1;9;5;2;60;1;0;weak;min-degree;7;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_020.lp;14;1;9;5;2;60;1;0;none;min-degree;7;3
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_20/probability_0.10/instance_n20_p0.10_002.lp;14;1;9;5;2;42;1;1;semi;min-degree;4;4
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_20/probability_0.10/instance_n20_p0.10_002.lp;14;1;9;5;2;42;1;0;semi;min-degree;4;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_20/probability_0.10/instance_n20_p0.10_002.lp;14;1;9;5;2;42;1;1;weak;min-degree;4;4
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_20/probability_0.10/instance_n20_p0.10_002.lp;14;1;9;5;2;42;1;0;weak;min-degree;4;1
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_20/probability_0.10/instance_n20_p0.10_002.lp;14;1;9;5;2;42;1;0;none;min-degree;4;5
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_20/probability_0.10/instance_n20_p0.10_005.lp;14;1;9;5;2;45;1;1;semi;min-degree;2;4
